mastery,recent_avg_score,latest_score,difficulty,days_since_study,attempts,exam_urgency,success
0.7739560485559633,0.6491579558071039,0.7242030753877496,0.6973680290593639,8,1,0.9756223516367559,1
0.7860643052769538,0.7840481663764391,0.6987437736190811,0.37079802423258124,7,13,0.6438651200806645,1
0.44341419882733113,0.34029910328134255,0.37717418168959244,0.06381725610417532,34,12,0.6316643991220648,0
0.35452596812986836,0.5012309287707519,0.4857779805638717,0.7783834970737619,30,2,0.4667210037270342,1
0.15428949206754783,0.20598801242849374,0.42015277251553984,0.96750973243421,16,4,0.3704597060348689,0
0.1894713590842857,0.1757976641657007,0.09178201646944789,0.2269093490508841,22,10,0.43715191887233074,0
0.7002651020022491,0.7654436141988725,0.6988926434700031,0.8047643574968019,33,5,0.2883281039302441,0
0.1397524836093098,0.2212221111779372,0.22798001812682633,0.7869243775021384,31,9,0.7051653786263351,0
0.45891577553833995,0.3822504337491389,0.35473620862647054,0.11453007353597344,17,10,0.4710962061431325,1
0.7649988574160256,0.7845292252286262,0.8431514583645541,0.5592071607454135,31,4,0.030817834567939406,1
0.2145846728195292,0.1916281538337354,0.0640595214999432,0.23393948586534075,32,0,0.28138389202199654,0
0.6619165147268951,0.6106461971665109,0.6265001662741824,0.6643135403273875,16,6,0.8140203846660347,1
0.022712073133860478,0.0,0.0,0.4618772302513874,28,2,0.5010447751033635,0
0.696320375077736,0.7761665881544704,0.766318039703528,0.3015120891478765,27,9,0.3618126105533904,1
0.11800590212051532,0.0,0.039977422672343665,0.6997071338107496,18,3,0.9691763773477239,0
0.7168901891589956,0.6048560675578104,0.5843123117710474,0.0963909621534993,17,13,0.45577628983361107,1
0.3059566241506525,0.33448489643052587,0.27506990086084643,0.8566142840923755,0,11,0.7194629559509368,1
0.6273088407024432,0.819522307660953,0.7955867449136506,0.08444432113988909,30,6,0.04161417386189248,1
0.3298612123327853,0.3726857394307264,0.5190160285526826,0.587644572177712,31,2,0.9251201183767972,0
0.34686980453483707,0.4230879181525656,0.40086564844268824,0.9585592132414453,16,7,0.7827352272502862,1
